"","Kode Barang","Nama Barang","Merk","No Org","No Prod","Mobil","Harga Jual","Harga Beli","Stok","max stok","Total Penjualan"
"","00000001","7766TUTU","","","","","9000","0","0","","200"
"","00000002","TRIPLEK 4 MM (P) 3 X 7","","","","","NaN","0","0","","308"
"","00000003","TRIPLEK 3 MM ( S ) 4 X 8","","","","","50000","0","104","","2220"
"","00000004","TRIPLEK 4 MM ( L ) 4 X 8","","","","","NaN","0","0","","152"
"","00000005","TRIPLEK 6 MM ( L ) 4 X 8","","","","","68100","0","9","","609"
"","00000006","TRIPLEK 9 MM ASLI ( L ) 4 X 8 ","","","","","115000","0","0","","1655"
"","00000007","TRIPLEK 9 MM ( L ) 4 X 8  (S)","","","","","105000","0","0","","5748"
"","00000008","TRIPLEK 15 MM ( L ) 4 X 8","","","","","170000","0","31","","597"
"","00000009","TRIPLEK 18 MM ( L ) 4 X 8","","","","","167100","0","74","","946"
"","00000010","PIPA GAS 3/8X2MM","","","","","NaN","0","0","",""
"","00000012","LEM JAGUAR ?","","","","","NaN","0","0","",""
"","00000013","TALANG KARET MERAH HITAM LB 45","","","","","NaN","0","0","",""
"","00000014","PR.PASTA YELLOW 1112","","","","","1079200","0","0","","44"
"","00000015","PR.PASTA YELLOW 1242","","","","","380000","0","0","","89"
"","00000016","PR.PASTA WHITE 0112","","","","","210000","0","0","","230"
"","00000017","PR.PASTA VIOLET 4112","","","","","381000","0","0","","82"
"","00000018","PR.PASTA YELLOW 1132","","","","","465500","0","0","","141"
"","00000019","PR.PASTA BLACK9112","","","","","117500","0","0","","61"
"","00000020","PR.PASTA RED 3112","","","","","207100","0","0","","47"
"","00000021","PR.PASTA ORANGE 2112","","","","","883000","0","0","","43"
"","00000022","PR.PASTA BLUE 5112","","","","","1","0","0","","58"
"","00000023","PR.PASTA BLACK 9122","","","","","128300","0","0","","195"
"","00000024","PR.PASTA BROWN 8111","","","","","1","0","0","","3"
"","00000025","PR.TT.DECORACRYLIC","","","","","NaN","0","0","",""
"","00000026","AA 250 @40 KG","","","","","NaN","0","0","",""
"","00000027","AA 290 @50 KG","","","","","NaN","0","0","",""
"","00000028","AA 301 @50 KG","","","","","NaN","0","0","",""
"","00000029","AA 380 @50 KG","","","","","NaN","0","0","",""
"","00000030","AA 400 @ 50 KG","","","","","NaN","0","0","",""
"","00000031","AA 400 @50 KG","","","","","NaN","0","0","",""
"","00000035","AGA DEKORASI 200 CC","","","","","NaN","0","0","",""
"","00000036","AGA TEMBOK 232 5 KG","","","","","NaN","0","0","",""
"","00000037","AGA TEMBOK PUTIH 5 KG","","","","","NaN","0","0","",""
"","00000038","ALCAPLAST 25 KG","","","","","NaN","0","0","",""
"","00000039","ALCAPROOF 3,5KG SET","","","","","NaN","0","0","",""
"","00000040","ALCAPROOF 7 KG SET","","","","","NaN","0","0","",""
"","00000041","ALUMINIUM FOIL DOUBLE","","","","","275000","0","0","","1"
"","00000042","ALUMINIUM FOIL SINGLE","","","","","225000","0","0","","3"
"","00000043","ANTI RAYAP BAYU","","","","","NaN","0","0","",""
"","00000044","AQUA WOOD FILLER TEAK 1 KG","","","","","20000","0","0","","7"
"","00000045","AQUAPROOF ABU-ABU 1 KG","","","","","39000","0","0","","1"
"","00000046","AQUAPROOF ABU-ABU 20 KG","","","","","NaN","0","0","",""
"","00000047","AQUAPROOF ABU-ABU 4 KG","","","","","NaN","0","0","",""
"","00000048","AQUAPROOF MERAH 1 KG","","","","","NaN","0","0","",""
"","00000049","AQUAPROOF MERAH 20 KG","","","","","NaN","0","0","",""
"","00000050","AQUAPROOF MERAH 4 KG","","","","","NaN","0","0","",""
"","00000051","AQUAPROOF PUTIH 1 KG","","","","","NaN","0","0","",""
"","00000052","AQUAPROOF PUTIH 20 KG","","","","","NaN","0","0","",""
"","00000053","AQUAPROOF PUTIH 4 KG","","","","","NaN","0","0","",""
"","00000054","AQUAPROOF TRANSPARANT 1 KG","","","","","NaN","0","0","",""
"","00000055","AQUAPROOF TRANSPARANT 20 KG","","","","","NaN","0","0","",""
"","00000056","AQUAPROOF TRANSPARANT 4 KG","","","","","NaN","0","0","",""
"","00000057","TK.ARIES 635 20KG","","","","","NaN","0","0","",""
"","00000058","TK.ARIES TANPA NO 20KG","","","","","NaN","0","0","",""
"","00000059","ARPUS","","","","","NaN","0","0","",""
"","00000060","ASBES G.B 150 ATRISCO","","","","","65000","0","45","","420"
"","00000061","ASBES G.B 180 ATRISCO","","","","","77000","0","6","","397"
"","00000062","ASBES G.B 200 ATRISCO","","","","","80100","0","24","","1004"
"","00000063","ASBES G.B 225 ATRISCO","","","","","86700","0","7","","599"
"","00000064","ASBES G.B 250 ATRISCO","","","","","98000","0","1","","2810"
"","00000065","ASBES G.B 300 ATRISCO","","","","","117000","0","0","","6454"
"","00000066","ASBES G.K 150 ATRISCO","","","","","38500","0","87","","153"
"","00000067","ASBES G.K 150 ATRISCO LEBAR 80","","","","","NaN","0","0","",""
"","00000068","ASBES G.K 150 SURYA","","","","","27250","0","0","",""
"","00000069","ASBES G.K 180 ATRISCO","","","","","50500","0","2","","335"
"","00000070","ASBES G.K 180 ATRISCO LEBAR 80","","","","","NaN","0","0","",""
"","00000071","ASBES G.K 180 SURYA","","","","","32750","0","0","",""
"","00000072","ASBES G.K 210 ATRISCO","","","","","59000","0","1","","513"
"","00000073","ASBES G.K 210 ATRISCO LEBAR 80","","","","","NaN","0","0","",""
"","00000074","ASBES G.K 210 SURYA","","","","","38250","0","0","",""
"","00000075","ASBES G.K 240 ATRISCO","","","","","73000","0","2","","1116"
"","00000076","ASBES G.K 240 SURYA","","","","","43600","0","0","",""
"","00000077","ASBES G.K 300 ATRISCO","","","","","85100","0","2","","1888"
"","00000078","ASBES G.K 300 SURYA","","","","","54500","0","0","",""
"","00000079","ATAP GALVALUM KR 5 0,35 X 410","","","","","50000","0","0","","128.5"
"","00000080","TK.AVIAN CAT KOLAM KUNING 1 KG","","","","","80000","0","7","","7"
"","00000081","AVIAN TANPA NO 1/2 KG","","","","","NaN","0","0","",""
"","00000082","AVUR BAK BIRU","","","","","4500","0","0","","22"
"","00000083","AVUR BAK CUCI PIRING 1 1/2","","","","","NaN","0","0","",""
"","00000084","AVUR BAK KUNINGAN 3/4","","","","","NaN","0","0","",""
"","00000085","AVUR BAK MANDI STEEL 1","","","","","8000","0","12","","60"
"","00000086","AVUR BAK MANDI STEEL 3/4","","","","","6000","0","35","","37"
"","00000087","AVUR BAK PUTIH","","","","","40000","0","4","","29"
"","00000088","AVUR BCP ROYAL ECER","","","","","NaN","0","0","",""
"","00000089","AVUR BCP ROYAL PTH PAKET","","","","","NaN","0","0","",""
"","00000090","AVUR LANTAI ALINCO","","","","","NaN","0","0","",""
"","00000091","AVUR LANTAI BEST BIRU","","","","","3500","0","0","","16"
"","00000092","AVUR LANTAI BEST HIJAU","","","","","NaN","0","0","",""
"","00000093","AVUR LANTAI BEST PUTIH","","","","","3500","0","0","","12"
"","00000094","AVUR LANTAI CAB","","","","","11000","0","0","","12"
"","00000095","AVUR LANTAI CHIEMIE","","","","","NaN","0","0","",""
"","00000096","AVUR LANTAI CROM","","","","","25000","0","4","","25"
"","00000097","AVUR LANTAI DILAU 4"" STEEL","","","","","NaN","0","0","",""
"","00000098","AVUR LANTAI EFOS CHROME","","","","","NaN","0","0","",""
"","00000099","AVUR LANTAI ELFA","","","","","NaN","0","0","",""
"","00000100","AVUR LANTAI HORSE PTH","","","","","NaN","0","0","",""
"","00000101","AVUR LANTAI IMUNDEX","","","","","NaN","0","0","",""
"","00000102","AVUR LANTAI KOTAK ABU2","","","","","NaN","0","0","",""
"","00000103","AVUR LANTAI MANGKOK BIRU","","","","","NaN","0","0","",""
"","00000104","AVUR LANTAI MANGKOK CROM","","","","","NaN","0","0","",""
"","00000105","AVUR LANTAI NAGA","","","","","NaN","0","0","",""
